turn,player_id,tasks_at_turn,acceptable_energy_level_at_turn
37,17,7,0
37,10,7,0
37,9,7,0
37,18,7,0
37,19,7,0
37,0,7,0
38,2,7,-9
39,11,7,-9
38,8,7,-9
38,15,7,-9
38,16,7,-9
38,6,7,-9
38,5,7,-9
38,14,7,-9
38,12,7,-9
38,4,7,-9
38,1,7,-9
38,3,7,-9
38,17,7,-9
38,10,7,-9
38,9,7,-9
38,18,7,-9
38,19,7,-9
38,0,7,-9
39,2,7,-9
40,11,7,-9
39,8,7,-9
39,15,7,-9
39,16,7,-9
39,6,7,-9
39,5,7,-9
39,14,7,-9
39,12,7,-9
39,4,7,-9
39,1,7,-9
39,3,7,-9
39,17,7,-9
39,10,7,-9
39,9,7,-9
39,18,7,-9
39,19,7,-9
39,0,7,-9
40,2,6,-9
41,11,6,-9
38,8,6,-9
38,15,6,-9
38,16,6,-9
38,6,6,-9
38,5,6,-9
38,14,6,-9
38,12,6,-9
38,4,6,-9
38,1,6,-9
38,3,6,-9
38,17,6,-9
38,10,6,-9
38,9,6,-9
38,18,6,-9
38,19,6,-9
38,0,6,-9
39,2,6,0
40,11,6,0
39,8,6,0
39,15,6,0
39,16,6,0
39,6,6,0
39,5,6,0
39,14,6,0
39,12,6,0
39,4,6,0
39,1,6,0
39,3,6,0
39,17,6,0
39,10,6,0
39,9,6,0
39,18,6,0
39,19,6,0
39,0,6,0
40,2,6,0
41,11,6,0
40,8,6,0
40,15,6,0
40,16,6,0
40,6,6,0
40,5,6,0
40,14,6,0
40,12,6,0
40,4,6,0
40,1,6,0
40,3,6,0
40,17,6,0
40,10,6,0
40,9,6,0
40,18,6,0
40,19,6,0
40,0,6,0
41,2,6,-9
42,11,6,-9
39,8,6,-9
39,15,6,-9
39,16,6,-9
39,6,6,-9
39,5,6,-9
39,14,6,-9
39,12,6,-9
39,4,6,-9
39,1,6,-9
39,3,6,-9
39,17,6,-9
39,10,6,-9
39,9,6,-9
39,18,6,-9
39,19,6,-9
39,0,6,-9
40,2,6,-9
41,11,6,-9
40,8,6,-9
40,15,6,-9
40,16,6,-9
40,6,6,-9
40,5,6,-9
40,14,6,-9
40,12,6,-9
40,4,6,-9
40,1,6,-9
40,3,6,-9
40,17,6,-9
40,10,6,-9
40,9,6,-9
40,18,6,-9
40,19,6,-9
40,0,6,-9
41,2,5,-9
42,11,5,-9
41,8,5,-9
41,15,5,-9
41,16,5,-9
41,6,5,-9
41,5,5,-9
41,14,5,-9
41,12,5,-9
41,4,5,-9
41,1,5,-9
41,3,5,-9
41,17,5,-9
41,10,5,-9
41,9,5,-9
41,18,5,-9
41,19,5,-9
41,0,5,-9
42,2,5,0
43,11,5,0
40,8,5,0
40,15,5,0
40,16,5,0
40,6,5,0
40,5,5,0
40,14,5,0
40,12,5,0
40,4,5,0
40,1,5,0
40,3,5,0
40,17,5,0
40,10,5,0
40,9,5,0
40,18,5,0
40,19,5,0
40,0,5,0
41,2,5,0
42,11,5,0
41,8,5,0
41,15,5,0
41,16,5,0
41,6,5,0
41,5,5,0
41,14,5,0
41,12,5,0
41,4,5,0
41,1,5,0
41,3,5,0
41,17,5,0
41,10,5,0
41,9,5,0
41,18,5,0
41,19,5,0
41,0,5,0
42,2,5,-9
43,11,5,-9
42,8,5,-9
42,15,5,-9
42,16,5,-9
42,6,5,-9
42,5,5,-9
42,14,5,-9
42,12,5,-9
42,4,5,-9
42,1,5,-9
42,3,5,-9
42,17,5,-9
42,10,5,-9
42,9,5,-9
42,18,5,-9
42,19,5,-9
42,0,5,-9
43,2,5,-9
44,11,5,-9
41,8,5,-9
41,15,5,-9
41,16,5,-9
41,6,5,-9
41,5,5,-9
41,14,5,-9
41,12,5,-9
41,4,5,-9
41,1,5,-9
41,3,5,-9
41,17,5,-9
41,10,5,-9
41,9,5,-9
41,18,5,-9
41,19,5,-9
41,0,5,-9
42,2,5,-9
43,11,5,-9
42,8,5,-9
42,15,5,-9
42,16,5,-9
42,6,5,-9
42,5,5,-9
42,14,5,-9
42,12,5,-9
42,4,5,-9
42,1,5,-9
42,3,5,-9
42,17,5,-9
42,10,5,-9
42,9,5,-9
42,18,5,-9
42,19,5,-9
42,0,5,-9
43,2,5,-9
44,11,5,-9
43,8,5,-9
43,15,5,-9
43,16,5,-9
43,6,5,-9
43,5,5,-9
43,14,5,-9
43,12,5,-9
43,4,5,-9
43,1,5,-9
43,3,5,-9
43,17,5,-9
43,10,5,-9
43,9,5,-9
43,18,5,-9
43,19,5,-9
43,0,5,-9
44,2,5,-9
45,11,5,-9
42,8,5,-9
42,15,5,-9
42,16,5,-9
42,6,5,-9
42,5,5,-9
42,14,5,-9
42,12,5,-9
42,4,5,-9
42,1,5,-9
42,3,5,-9
42,17,5,-9
42,10,5,-9
42,9,5,-9
42,18,5,-9
42,19,5,-9
42,0,5,-9
43,2,3,-9
44,11,3,-9
43,8,3,-9
43,15,3,-9
43,16,3,-9
43,6,3,-9
43,5,3,-9
43,14,3,-9
43,12,3,-9
43,4,3,-9
43,1,3,-9
43,10,3,-9
43,9,3,-9
43,18,3,-9
43,19,3,-9
43,0,3,-9
44,2,1,0
45,11,1,0
44,8,1,0
44,16,1,0
44,6,1,0
44,5,1,0
44,14,1,0
44,12,1,0
44,4,1,0
44,10,1,0
44,9,1,0
44,18,1,0
44,19,1,0
44,0,1,0
45,2,1,0
46,11,1,0
43,8,1,0
43,16,1,0
43,6,1,0
43,5,1,0
43,14,1,0
43,12,1,0
43,4,1,0
43,10,1,0
43,9,1,0
43,18,1,0
43,19,1,0
43,0,1,0
44,2,1,0
45,11,1,0
44,8,1,0
44,16,1,0
44,6,1,0
44,5,1,0
44,14,1,0
44,12,1,0
44,4,1,0
44,10,1,0
44,9,1,0
44,18,1,0
44,19,1,0
44,0,1,0
45,2,1,-9
46,11,1,-9
45,8,1,-9
45,16,1,-9
45,6,1,-9
45,5,1,-9
45,14,1,-9
45,12,1,-9
45,4,1,-9
45,10,1,-9
45,9,1,-9
45,18,1,-9
45,19,1,-9
45,0,1,-9
46,2,1,-9
47,11,1,-9
44,8,1,-9
44,16,1,-9
44,6,1,-9
44,5,1,-9
44,14,1,-9
44,12,1,-9
44,4,1,-9
44,10,1,-9
44,9,1,-9
44,18,1,-9
44,19,1,-9
44,0,1,-9
45,2,1,-9
46,11,1,-9
45,8,1,-9
45,16,1,-9
45,6,1,-9
45,5,1,-9
45,14,1,-9
45,12,1,-9
45,4,1,-9
45,10,1,-9
45,9,1,-9
45,18,1,-9
45,19,1,-9
45,0,1,-9
46,2,1,-9
47,11,1,-9
46,8,1,-9
46,16,1,-9
46,6,1,-9
46,5,1,-9
46,14,1,-9
46,12,1,-9
46,4,1,-9
46,10,1,-9
46,9,1,-9
46,18,1,-9
46,19,1,-9
46,0,1,-9
47,2,1,-9
48,11,1,-9
45,8,1,-9
45,16,1,-9
45,6,1,-9
45,5,1,-9
45,14,1,-9
45,12,1,-9
45,4,1,-9
45,10,1,-9
45,9,1,-9
45,18,1,-9
45,19,1,-9
45,0,1,-9
46,2,40,-9
47,11,40,-9
46,8,40,-9
46,16,40,-9
46,6,40,-9
46,5,40,-9
46,14,40,-9
46,12,40,-9
46,4,40,-9
46,10,40,-9
46,18,40,-9
46,19,40,-9
46,0,40,-9
47,2,35,0
48,11,35,0
47,8,35,0
47,16,35,0
47,6,35,0
47,5,35,0
47,14,35,0
47,12,35,0
47,4,35,0
47,10,35,0
47,19,35,0
47,0,35,0
48,2,35,0
49,11,35,0
46,8,35,0
46,16,35,0
46,6,35,0
46,5,35,0
46,14,35,0
46,12,35,0
46,4,35,0
46,10,35,0
46,19,35,0
46,0,35,0
47,2,35,0
48,11,35,0
47,8,35,0
47,16,35,0
47,6,35,0
47,5,35,0
47,14,35,0
47,12,35,0
47,4,35,0
47,10,35,0
47,19,35,0
47,0,35,0
48,2,35,-9
49,11,35,-9
48,8,35,-9
48,16,35,-9
48,6,35,-9
48,5,35,-9
48,14,35,-9
48,12,35,-9
48,4,35,-9
48,10,35,-9
48,19,35,-9
48,0,35,-9
49,2,30,-9
50,11,30,-9
47,8,30,-9
47,16,30,-9
47,6,30,-9
47,5,30,-9
47,14,30,-9
47,12,30,-9
47,4,30,-9
47,10,30,-9
47,19,30,-9
47,0,30,-9
48,2,29,0
49,11,29,0
48,8,29,0
48,16,29,0
48,6,29,0
48,5,29,0
48,14,29,0
48,12,29,0
48,4,29,0
48,10,29,0
48,19,29,0
48,0,29,0
49,2,29,0
50,11,29,0
49,8,29,0
49,16,29,0
49,6,29,0
49,5,29,0
49,14,29,0
49,12,29,0
49,4,29,0
49,10,29,0
49,19,29,0
49,0,29,0
50,2,29,0
51,11,29,0
48,8,29,0
48,16,29,0
48,6,29,0
48,5,29,0
48,14,29,0
48,12,29,0
48,4,29,0
48,10,29,0
48,19,29,0
48,0,29,0
49,2,29,-9
50,11,29,-9
49,8,29,-9
49,16,29,-9
49,6,29,-9
49,5,29,-9
49,14,29,-9
49,12,29,-9
49,4,29,-9
49,10,29,-9
49,19,29,-9
49,0,29,-9
50,2,28,-9
51,11,28,-9
50,8,28,-9
50,16,28,-9
50,6,28,-9
50,5,28,-9
50,14,28,-9
50,12,28,-9
50,4,28,-9
50,10,28,-9
50,19,28,-9
50,0,28,-9
51,2,28,0
52,11,28,0
49,8,28,0
49,16,28,0
49,6,28,0
49,5,28,0
49,14,28,0
49,12,28,0
49,4,28,0
49,10,28,0
49,19,28,0
49,0,28,0
50,2,28,0
51,11,28,0
50,8,28,0
50,16,28,0
50,6,28,0
50,5,28,0
50,14,28,0
50,12,28,0
50,4,28,0
50,10,28,0
50,19,28,0
50,0,28,0
